Date,Time,Symbol,Quantity,Price,Side,Commission
2022-03-22,09:57:00,DKNG,19.7368,19.76,Compra,0.0
2022-03-22,09:57:00,NIO,14.63,21.66,Compra,0.0
2022-03-22,09:58:00,SQ,2.9776,143.07,Compra,0.0
2022-03-22,10:00:00,PYPL,2.99,118.3,Compra,0.0
2022-03-22,10:00:00,AAL,19.77,16.28,Compra,0.0
2022-03-22,10:01:00,TDOC,4.98,69.81,Compra,0.0
2022-03-22,10:02:00,RBLX,4.99,49.01,Compra,0.0
2022-03-23,11:05:00,TWLO,3.0,165.37,Compra,0.0
2022-03-23,11:06:00,RBLX,4.93,52.65,Compra,0.0
2022-03-28,08:43:00,CRSP,7.0,63.0,Compra,0.0
2022-03-31,09:29:00,RCL,6.97,82.42,Compra,0.0
2022-04-05,09:55:00,SE,3.99,126.53,Compra,0.0
2022-04-07,12:51:00,ABNB,3.0,164.0,Compra,0.0
2022-04-07,13:51:00,WYNN,6.0,73.4,Compra,0.0
2022-04-08,11:49:00,DKNG,15.0,16.8,Compra,0.0
2022-04-11,18:30:00,SOL,5.0,100.0,Compra,0.0
2022-04-19,11:02:00,MANA,231.48,2.16,Compra,0.0
2022-04-21,11:07:00,NIO,10.0,17.35,Compra,0.0
2022-04-21,11:08:00,RBLX,5.0,35.36,Compra,0.0
2022-04-22,11:30:00,BTC,0.01268,39451.0,Compra,0.0
2022-04-25,09:16:00,PENN,7.9681,37.65,Compra,0.0
2022-04-25,09:17:00,AMD,4.0,89.21,Compra,0.0
2022-04-25,13:31:00,SE,3.0,88.51,Compra,0.0
2022-04-25,13:35:00,SQ,3.0,106.98,Compra,0.0
2022-04-26,10:06:00,DIS,3.0,116.77,Compra,0.0
2022-04-26,10:07:00,MS,4.004753416518122,84.15,Compra,0.0
2022-04-28,13:25:00,LUV,7.0,46.6,Compra,0.0
2022-05-05,10:04:00,MANA,163.82,1.52,Compra,0.0
2022-05-05,10:07:00,TDOC,6.0,35.8,Compra,0.0
2022-05-05,10:10:00,ABNB,2.0,141.5,Compra,0.0
2022-05-05,11:23:00,ETSY,4.0,90.2,Compra,0.0
2022-05-05,11:25:00,NIO,15.0,15.53,Compra,0.0
2022-05-06,07:45:00,LUNA,3.731,80.4,Compra,0.0
2022-05-06,07:45:00,SOL,2.45,81.9,Compra,0.0
2022-05-06,14:09:00,BABA,4.0,89.5,Compra,0.0
2022-05-08,11:10:00,LUNA,3.08,65.0,Compra,0.0
2022-05-09,12:15:00,BTC,0.0082,30500.0,Compra,0.0
2022-05-09,19:10:00,LUNA,7.143,28.0,Compra,0.0
2022-05-10,08:45:00,DKNG,22.0,11.12,Compra,0.0
2022-05-10,08:45:00,ABNB,2.0,117.3,Compra,0.0
2022-05-11,08:48:00,PTON,19.0,13.3,Compra,0.0
2022-05-11,17:50:00,SAND,200.0,1.25,Compra,0.0
2022-05-12,09:19:00,AVAX,6.75,37.0,Compra,0.0
2022-05-13,01:00:00,LUNA,-13.9539,0.0,Cierre,0.0
2022-05-16,07:25:00,ETH,0.1246,2006.0,Compra,0.0
2022-05-19,08:50:00,PARA,11.0,31.42,Compra,0.0
2022-05-20,09:10:00,XPEV,13.0,23.9,Compra,0.0
2022-05-20,09:20:00,TWLO,2.0,102.5,Compra,0.0
2022-05-24,07:35:00,MANA,99.0,1.016,Compra,0.0
2022-05-24,07:37:00,AVAX,3.53,28.4,Compra,0.0
2022-05-31,13:15:00,SOL,6.4935,46.2,Compra,0.0
2022-06-12,12:45:00,MANA,236.686,0.845,Compra,0.0
2022-06-12,12:47:00,AVAX,10.498,19.05,Compra,0.0
2022-06-13,09:53:00,AMD,-4.0,89.0,Cierre,0.0
2022-06-14,10:57:00,MS,-4.0,75.3,Cierre,0.0
2022-06-23,15:33:00,ETH,0.1326,1131.82,Compra,0.0
2022-07-08,11:05:00,RCL,6.0,34.7,Compra,0.0
2022-07-09,09:26:00,BABA,-4.0,91.7,Cierre,0.0
2022-08-09,09:29:00,DIS,-3.0,107.3,Cierre,0.0
2022-08-09,09:30:00,NVDA,4.0,170.85,Compra,0.0
2022-08-30,10:22:00,PENN,-8.000000000000002,31.78,Cierre,0.0
2022-08-30,10:37:00,AAPL,3.0,159.0,Compra,0.0
2022-09-15,12:30:00,ROKU,4.0,74.3,Compra,0.0
2022-09-15,12:31:00,TWLO,3.0,79.9,Compra,0.0
2022-09-21,12:30:00,ETSY,-4.0,99.14,Cierre,0.0
2022-09-26,08:30:00,BOIL,0.5,1068.4,Compra,0.0
2022-09-26,08:47:00,AAPL,-2.9999999999999996,150.8,Cierre,0.0
2022-09-29,09:47:00,RIVN,10.0,32.75,Compra,0.0
2022-10-18,11:53:00,BOIL,0.25,824.0,Compra,0.0
2022-10-19,13:35:00,NIO,28.0,10.76,Compra,0.0
2022-10-21,12:36:00,SE,-4.0,45.75,Cierre,0.0
2022-10-24,09:30:00,BABA,6.0,59.05,Compra,0.0
2022-10-24,09:45:00,NIO,23.0,8.7,Compra,0.0
2022-11-03,08:45:00,ABNB,3.0,92.25,Compra,0.0
2022-11-03,09:16:00,SQ,-3.0000000000000004,52.2,Cierre,0.0
2022-11-03,09:17:00,AVAX,-20.778,18.25,Cierre,0.0
2022-11-07,10:34:00,LUV,-7.0,37.0,Cierre,0.0
2022-11-07,10:43:00,NVDA,-2.0,140.62,Cierre,0.0
2022-11-07,10:45:00,RIVN,9.0,32.0,Compra,0.0
2022-11-07,10:46:00,DKNG,27.0,11.1,Compra,0.0
2022-11-25,08:41:00,WYNN,-6.0,75.83,Cierre,0.0
2022-11-25,08:41:00,BABA,-6.0,75.5,Cierre,0.0
2022-11-25,08:42:00,NVDA,-4.0,163.05,Cierre,0.0
2022-12-05,14:10:00,BOIL,0.55,560.0,Compra,0.0
2022-12-13,11:37:00,BTC,0.01124,17800.0,Compra,0.0
2022-12-13,11:38:00,ETH,0.1509,1326.0,Compra,0.0
2023-01-04,12:42:00,BOIL,1.0,302.4,Compra,0.0
2023-01-26,10:23:00,DKNG,-33.0,14.5,Cierre,0.0
2023-01-26,10:30:00,NIO,-43.0,12.01,Cierre,0.0
2023-02-01,15:40:00,PTON,-18.999999999999996,16.5,Cierre,0.0
2023-02-10,12:26:00,BOIL,1.95,128.4,Compra,0.0
2023-03-08,14:05:00,SPCE,2.803738317757009,107.0,Compra,0.0
2023-03-08,14:05:00,RCL,-12.97,71.4,Cierre,0.0
2023-03-08,14:06:00,RIVN,14.0,14.86,Compra,0.0
2023-03-15,09:00:00,SCHW,5.3,56.73,Compra,0.0
2023-04-20,09:27:00,SPCE,2.7520435967302452,73.4,Compra,0.0
2023-04-20,09:29:00,TSLA,2.0,167.0,Compra,0.0
2023-05-23,10:26:00,NIO,34.0,8.82,Compra,0.0
2023-07-12,08:30:00,DKNG,-50.7368,30.2,Cierre,0.0
2023-07-12,13:49:00,CVNA,9.9,40.7,Venta,0.0
2023-07-31,12:39:00,GLD,1.6399,182.94,Compra,0.0
2023-08-04,08:32:00,LMND,17.143,17.5,Compra,0.0
2023-08-14,09:36:00,LMND,13.56,14.75,Compra,0.0
2023-08-24,10:21:00,SPCE,4.8828125,51.2,Compra,0.0
2023-08-25,08:32:00,PTON,53.58,5.6,Compra,0.0
2023-10-11,12:28:00,JWN,20.41,14.7,Compra,0.0
2023-10-11,12:29:00,EXAS,4.53,66.25,Compra,0.0
2023-10-11,12:34:00,CVNA,-9.9,37.3,Cierre,0.0
2023-10-11,12:35:00,JD,9.92,30.25,Compra,0.0
2023-10-11,12:35:00,HBI,76.15,3.94,Compra,0.0
2023-10-11,12:35:00,ABNB,-3.11,128.81,Cierre,0.0
2023-10-16,10:57:00,CCL,24.4,12.3,Compra,0.0
2023-10-16,11:02:00,BTC,0.007125,28070.0,Compra,0.0
2023-10-23,09:29:00,RIVN,11.8,16.95,Compra,0.0
2023-10-23,09:34:00,WYNN,3.33,90.09,Compra,0.0
2023-10-23,09:37:00,DKNG,7.17,27.9,Compra,0.0
2023-10-30,12:58:00,GLD,-1.6399,185.4,Cierre,0.0
2023-11-10,09:48:00,ROKU,-4.0,81.58,Cierre,0.0
2023-11-10,09:49:00,HBI,-76.15,3.97,Cierre,0.0
2023-11-10,09:50:00,SCHW,-5.3,54.19,Cierre,0.0
2023-11-10,09:51:00,JWN,-20.41,13.33,Cierre,0.0
2023-11-10,09:53:00,XPEV,6.38,15.68,Compra,0.0
2023-11-10,09:55:00,VBR,3.24,154.38,Compra,0.0
2023-11-16,12:43:00,JD,7.21,27.75,Compra,0.0
2023-11-20,10:24:00,AAL,20.3,12.32,Compra,0.0
2023-11-20,10:26:00,DAL,6.91,36.19,Compra,0.0
2023-12-12,13:00:00,DOCU,4.49,55.79,Compra,0.0
2023-12-12,14:00:00,OXY,4.53,55.19,Compra,0.0
2023-12-12,16:00:00,CTRA,10.27,24.36,Compra,0.0
2024-01-11,10:44:00,CHPT,159.58,1.88,Compra,0.0
2024-02-22,12:40:00,RIVN,35.0,11.43,Compra,0.0
2024-03-04,18:30:00,BTC,-0.0392,68100.0,Cierre,0.0
2024-03-04,18:31:00,ETH,-0.4081,3620.0,Cierre,0.0
2024-03-04,18:32:00,SOL,-13.9435,132.5,Cierre,0.0
2024-03-04,18:35:00,SAND,-200.0,0.685,Cierre,0.0
2024-03-05,09:33:00,DAL,-6.91,41.5,Cierre,0.0
2024-03-05,09:34:00,WYNN,-3.33,99.0,Cierre,0.0
2024-03-05,09:35:00,CCL,-24.4,16.0,Cierre,0.0
2024-03-05,09:37:00,EXAS,-4.53,58.99,Cierre,0.0
2024-03-05,09:38:00,XPEV,-19.38,9.1,Cierre,0.0
2024-03-05,09:38:00,PTON,-53.58,4.35,Cierre,0.0
2024-03-05,09:39:00,PARA,-11.0,10.25,Cierre,0.0
2024-03-05,09:40:00,SE,-2.99,55.0,Cierre,0.0
2024-03-05,09:40:00,CRSP,-7.0,80.0,Cierre,0.0
2024-03-05,09:41:00,TDOC,-10.98,14.5,Cierre,0.0
2024-03-05,09:42:00,AAL,-40.7,14.6,Cierre,0.0
2024-03-05,09:43:00,PYPL,-2.99,60.1,Cierre,0.0
2024-03-05,09:43:00,SQ,-2.9776,76.3,Cierre,0.0
2024-03-05,10:56:00,BOIL,-4.25,18.25,Cierre,0.0
2024-03-11,08:20:00,EURUSD,1830.5,1.0926,Venta,0.0
2024-03-21,08:43:00,SPY,1.91022,523.5,Venta,0.0
2024-03-28,13:50:00,VBR,-3.24,191.71,Cierre,0.0
2024-04-22,13:14:00,RIVN,34.091,8.8,Compra,0.0
2024-06-18,08:30:00,SPY,3.656,547.16,Venta,0.0
2024-08-04,21:55:00,ETH,0.13044,2300.0,Compra,0.0
2024-08-05,07:51:00,BTC,0.006,50000.0,Compra,0.0
2024-08-19,11:37:00,PENN,15.1,19.88,Compra,0.0
2024-09-05,08:58:00,DLTR,6.42,62.4,Compra,0.0
2024-09-09,09:10:00,TLT,4.025,99.4,Compra,0.0
2024-09-09,11:56:00,CVS,5.31,56.6,Compra,0.0
2024-09-13,12:36:00,XOM,2.69,111.79,Compra,0.0
2024-10-31,09:35:00,PENN,-15.1,20.45,Cierre,0.0
2024-10-31,09:56:00,TSLA,-2.0,254.8,Cierre,0.0
2024-10-31,09:59:00,LMND,-30.703,24.4,Cierre,0.0
2024-10-31,10:21:00,DOCU,-4.49,69.45,Cierre,0.0
2024-10-31,10:23:00,DKNG,-7.17,36.35,Cierre,0.0
2024-10-31,10:37:00,RBLX,-14.92,50.21,Cierre,0.0
2024-10-31,10:52:00,TWLO,-8.0,80.97,Cierre,0.0
2024-10-31,10:53:00,MANA,-730.986,0.29,Cierre,0.0
2024-10-31,10:53:00,BTC,-0.003,70825.99,Cierre,0.0
2024-10-31,10:54:00,ETH,-0.0652,2545.75,Cierre,0.0
2024-11-07,08:41:00,BTC,-0.003,74650.0,Cierre,0.0
2024-11-07,08:43:00,ETH,-0.0652,2808.0,Cierre,0.0
2024-11-20,09:35:00,BWXT,3.0781069642170067,129.95,Compra,0.0
2024-11-25,12:49:00,CVNA,1.55,259.27,Venta,0.0
2025-01-29,09:31:00,VST,1.359,147.25,Compra,0.0
2025-01-29,09:32:00,CEG,0.7168,279.03,Compra,0.0
2025-02-14,10:26:00,JD,-17.13,41.34,Cierre,0.0
2025-03-06,13:41:00,CEG,0.9345,214.01,Compra,0.0
2025-03-06,13:42:00,VST,1.7199,116.29,Compra,0.0
2025-03-10,13:59:00,BTC,0.00385,78000.0,Compra,0.0
2025-03-12,13:55:00,CVNA,-1.55,180.84,Cierre,0.0
2025-03-12,21:51:00,ETH,0.1053,1900.0,Compra,0.0
2025-03-13,08:31:00,HOOD,5.23,38.27,Compra,0.0
2025-03-13,13:19:00,TSLA,1.25,240.0,Compra,0.0
2025-03-14,09:44:00,COP,3.055,98.2,Compra,0.0
2025-04-11,10:30:00,ETH,0.1286,1556.0,Compra,0.0
2025-04-11,10:31:00,OXY,8.364,35.87,Compra,0.0
2025-04-22,09:47:00,AMZN,1.46,171.6,Compra,0.0
2025-04-22,09:49:00,DKNG,7.6,32.9,Compra,0.0
2025-04-23,14:38:57,SPY,-5.5662,534.8,Cierre,0.0
2025-05-08,08:31:00,SHOP,3.36,89.44,Compra,0.0
2025-05-19,08:30:00,NIO,-81.63,3.97,Cierre,0.0
2025-05-19,08:31:00,ABNB,-6.89,135.31,Cierre,0.0
2025-05-19,08:32:00,RIVN,-113.891,15.44,Cierre,0.0
2025-05-19,08:33:00,SPCE,-10.4386,4.88,Cierre,0.0
2025-05-19,08:34:00,CTRA,-10.27,24.48,Cierre,0.0
2025-05-19,08:35:00,CHPT,-159.58,0.7,Cierre,0.0
2025-05-19,08:37:00,EUR/USD,-1830.5,1.1178,Cierre,0.0
2025-05-19,08:38:00,DLTR,-6.42,85.01,Cierre,0.0
2025-05-19,08:39:00,TLT,-4.025,84.91,Cierre,0.0
2025-05-19,08:40:00,CVS,-5.31,63.02,Cierre,0.0
2025-05-19,08:41:00,XOM,-2.69,107.57,Cierre,0.0
2025-05-19,08:43:00,BWXT,-3.0781,108.59,Cierre,0.0
2025-05-19,09:06:00,CEG,-1.6513,283.35,Cierre,0.0
2025-05-19,09:06:00,VST,-3.0789,150.38,Cierre,0.0
2025-05-19,09:07:00,HOOD,-5.23,59.86,Cierre,0.0
2025-05-19,09:08:00,TSLA,-1.25,336.3,Cierre,0.0
2025-05-19,09:10:00,COP,-3.055,91.75,Cierre,0.0
2025-05-19,09:11:00,DKNG,-7.6,36.0,Cierre,0.0
2025-05-19,09:11:00,AMZN,-1.46,201.65,Cierre,0.0
2025-05-19,09:12:00,SHOP,-3.36,108.81,Cierre,0.0
2025-05-19,09:13:00,OXY,-6.447,42.53,Cierre,0.0
2025-05-19,09:14:00,ETH,-0.11695,2497.78,Cierre,0.0
2025-05-19,09:28:00,BTC,-0.00195,106454.27,Cierre,0.0
2025-05-19,09:48:00,GLD,3.358,297.8,Compra,0.0
2025-06-10,11:08:00,TLT,2.333,85.74,Compra,0.0
2025-06-24,10:13:00,SPY,3.31,605.27,Venta,0.0
2025-06-26,10:19:00,EUR/USD,854.774,1.1699,Venta,0.0
2025-07-09,16:49:00,BTC,-0.0019,110968.0,Cierre,0.0
2025-07-09,16:52:00,ETH,-0.117,2747.0,Cierre,0.0
2025-07-10,08:31:00,SPY,0.802,624.2,Venta,0.0
2025-08-05,09:50:00,CVNA,1.121,357.0,Venta,0.0
2025-08-21,09:30:00,CRCL,1.482,135.0,Compra,0.0
2025-08-25,09:51:00,SPY,1.553,644.0,Venta,0.0
2025-08-26,09:20:00,TLT,3.4771,86.28,Compra,0.0
2025-08-28,08:59:00,NVDA,1.6643,180.3,Venta,0.0
2025-09-28,09:30:00,QQQ,0.8346,599.11,Venta,0.0
